PERIOD_NAME,PERIOD_YEAR,QUATER,PERIOD_NUM,MONTH_NAME,budegt_CHAPTER,JTRANSACTION_DATE,ACTUAL_FLAG,DR,CR,ANNUAL_BUDGET,ADJUSTMENT_BUDGET,REVISED_BUDGET,ACTUAL_AMOUNT,FUND_AVAILABLE,ENCUMBRANCE_AMOUNT,ENTITY_CODE,ENTITY_DESCRIPTION,DIRECTORATE,COST_CENTER_CODE,COST_CENTER_DESCRIPTION,BUDGET_GROUP_CODE,BUDGET_GROUP_DESCRIPTION,ACCOUNT_CODE,ACCOUNT_DESCRIPTION,ACTIVITY_CODE,ACTIVITY_DESCRIPTION,FUTURE1,FUTURE1_DESCRIPTION,FUTURE2,FUTURE2_DESCRIPTION,ACCOUNT_TYPE,LEDGER_NAME,ACCOUNTED_DR,ACCOUNTED_CR,ADDITION_BUDGET,TRANSFER_BUDGET,GL_CODE
Jun,2025,Q2,6,Jun,Operational,2024-07-29,N,12554.98,96347.99,143217.82,23924.55,167142.37,97872.51,31768.929999999993,37500.93,E119,Entity E119,DVC-Academic,8450320,Cost Center 8450320,BG851,Budget Group BG851,A7578,Training and Development,ACT879,Activity ACT879,F1-88,Future 1 F1-88,F2-64,Future 2 F2-64,Revenue,General Ledger,12554.98,96347.99,19133.22,24602.03,E119-BG851-8450320-A7578-F1-88-F2-64
Feb,2025,Q1,2,Feb,Capital,2024-10-01,N,39916.68,59859.51,361179.86,7695.98,368875.83999999997,360403.38,3856.899999999965,4615.56,E151,Entity E151,DVC-CEC,8450483,Cost Center 8450483,BG475,Budget Group BG475,A1262,Salary and Wages,ACT366,Activity ACT366,F1-70,Future 1 F1-70,F2-77,Future 2 F2-77,Expense,Project Ledger,39916.68,59859.51,21052.15,16693.94,E151-BG475-8450483-A1262-F1-70-F2-77
Mar,2023,Q1,3,Mar,Capital,2024-02-15,Y,31577.32,5688.14,406610.93,35105.37,441716.3,146363.68,95793.81,199558.81,E174,Entity E174,DVC-CEC,8450414,Cost Center 8450414,BG106,Budget Group BG106,A9557,Capital Expenditure,ACT733,Activity ACT733,F1-20,Future 1 F1-20,F2-63,Future 2 F2-63,Expense,General Ledger,31577.32,5688.14,23700.45,9539.48,E174-BG106-8450414-A9557-F1-20-F2-63
Sep,2024,Q3,9,Sep,Capital,2024-02-23,Y,33930.53,50593.17,164769.2,32905.11,197674.31,197229.42,243.9199999999837,200.97,E513,Entity E513,,8450202,Cost Center 8450202,BG784,Budget Group BG784,A1946,Salary and Wages,ACT457,Activity ACT457,F1-56,Future 1 F1-56,F2-62,Future 2 F2-62,Revenue,Project Ledger,33930.53,50593.17,19447.0,1843.39,E513-BG784-8450202-A1946-F1-56-F2-62
Sep,2024,Q3,9,Sep,Manpower,2024-01-07,N,13535.54,19763.92,172207.29,13123.53,185330.82,97346.57,78199.63,9784.62,E919,Entity E919,DVC-Support Services,8450270,Cost Center 8450270,BG612,Budget Group BG612,A6867,Maintenance Costs,ACT287,Activity ACT287,F1-43,Future 1 F1-43,F2-13,Future 2 F2-13,Expense,Project Ledger,13535.54,19763.92,6264.93,1756.96,E919-BG612-8450270-A6867-F1-43-F2-13
Jul,2024,Q3,7,Jul,Manpower,2024-06-26,Y,9859.42,11647.78,201704.49,14773.4,216477.88999999998,114726.86,32723.959999999992,69027.07,E643,Entity E643,DVC-CEC,8450443,Cost Center 8450443,BG476,Budget Group BG476,A6275,Maintenance Costs,ACT607,Activity ACT607,F1-38,Future 1 F1-38,F2-25,Future 2 F2-25,Expense,General Ledger,9859.42,11647.78,26098.13,11146.4,E643-BG476-8450443-A6275-F1-38-F2-25
Jan,2025,Q1,1,Jan,Operational,2024-10-30,N,75513.36,58662.39,431375.47,4009.34,435384.81,207608.4,84256.06,143520.35,E321,Entity E321,,8450401,Cost Center 8450401,BG629,Budget Group BG629,A1692,Salary and Wages,ACT354,Activity ACT354,F1-80,Future 1 F1-80,F2-10,Future 2 F2-10,Expense,Project Ledger,75513.36,58662.39,29632.49,9770.54,E321-BG629-8450401-A1692-F1-80-F2-10
Jun,2024,Q2,6,Jun,Capital,2024-01-19,Y,42265.6,99563.78,104197.46,44753.26,148950.72,22214.63,27130.98999999999,99605.1,E961,Entity E961,DVC-Support Services,8450264,Cost Center 8450264,BG522,Budget Group BG522,A1904,Salary and Wages,ACT345,Activity ACT345,F1-30,Future 1 F1-30,F2-85,Future 2 F2-85,Expense,General Ledger,42265.6,99563.78,8410.04,3965.39,E961-BG522-8450264-A1904-F1-30-F2-85
Feb,2025,Q1,2,Feb,Capital,2024-06-20,N,12709.62,18928.36,283732.58,37606.43,321339.01,290984.95,4997.109999999986,25356.95,E706,Entity E706,DVC-CEC,8450487,Cost Center 8450487,BG622,Budget Group BG622,A5675,Consultancy Services,ACT990,Activity ACT990,F1-91,Future 1 F1-91,F2-77,Future 2 F2-77,Expense,Project Ledger,12709.62,18928.36,23993.5,16640.61,E706-BG622-8450487-A5675-F1-91-F2-77
Jun,2024,Q2,6,Jun,Capital,2024-01-25,Y,59856.3,41414.11,483178.34,27055.69,510234.03,308737.26,157069.22000000003,44427.55,E730,Entity E730,DVC-Academic,8450374,Cost Center 8450374,BG528,Budget Group BG528,A7559,Training and Development,ACT552,Activity ACT552,F1-96,Future 1 F1-96,F2-78,Future 2 F2-78,Revenue,General Ledger,59856.3,41414.11,15702.04,6803.18,E730-BG528-8450374-A7559-F1-96-F2-78
Oct,2025,Q4,10,Oct,Capital,2024-05-02,Y,14296.09,74229.35,197664.64,29900.46,227565.1,87635.91,20316.910000000003,119612.28,E448,Entity E448,DVC-Support Services,8450256,Cost Center 8450256,BG166,Budget Group BG166,A7663,Training and Development,ACT221,Activity ACT221,F1-93,Future 1 F1-93,F2-56,Future 2 F2-56,Revenue,General Ledger,14296.09,74229.35,1861.24,2134.67,E448-BG166-8450256-A7663-F1-93-F2-56
Mar,2023,Q1,3,Mar,Operational,2024-11-11,N,95979.1,4869.48,139203.07,2203.29,141406.36000000002,26199.32,52848.91000000002,62358.13,E527,Entity E527,VC Office,8450110,Cost Center 8450110,BG365,Budget Group BG365,A2231,Office Supplies,ACT721,Activity ACT721,F1-81,Future 1 F1-81,F2-65,Future 2 F2-65,Expense,General Ledger,95979.1,4869.48,28107.84,29520.95,E527-BG365-8450110-A2231-F1-81-F2-65
Sep,2023,Q3,9,Sep,Manpower,2024-10-05,Y,69072.63,72878.62,118789.2,46402.59,165191.78999999998,15055.69,107212.10999999999,42923.99,E414,Entity E414,DVC-CEC,8450428,Cost Center 8450428,BG540,Budget Group BG540,A3226,IT Equipment,ACT155,Activity ACT155,F1-36,Future 1 F1-36,F2-41,Future 2 F2-41,Expense,General Ledger,69072.63,72878.62,12463.29,720.15,E414-BG540-8450428-A3226-F1-36-F2-41
Apr,2024,Q2,4,Apr,Capital,2024-09-05,N,4142.81,96780.27,319945.67,48157.95,368103.62,42241.22,166056.69999999998,159805.7,E808,Entity E808,VC Office,8450134,Cost Center 8450134,BG247,Budget Group BG247,A2141,Office Supplies,ACT949,Activity ACT949,F1-91,Future 1 F1-91,F2-75,Future 2 F2-75,Revenue,General Ledger,4142.81,96780.27,3370.93,9959.59,E808-BG247-8450134-A2141-F1-91-F2-75
Feb,2025,Q1,2,Feb,Capital,2024-09-05,Y,78242.58,99251.46,196268.21,43715.37,239983.58,199335.82,31515.939999999973,9131.82,E332,Entity E332,,8450302,Cost Center 8450302,BG662,Budget Group BG662,A8082,Utilities,ACT986,Activity ACT986,F1-95,Future 1 F1-95,F2-32,Future 2 F2-32,Revenue,Project Ledger,78242.58,99251.46,5843.2,24314.05,E332-BG662-8450302-A8082-F1-95-F2-32
Jan,2025,Q1,1,Jan,Capital,2024-01-28,Y,6797.33,18122.56,482878.79,44506.9,527385.69,344000.56,99093.14999999997,84291.98,E393,Entity E393,DVC-CEC,8450442,Cost Center 8450442,BG737,Budget Group BG737,A2366,Office Supplies,ACT409,Activity ACT409,F1-31,Future 1 F1-31,F2-25,Future 2 F2-25,Revenue,Project Ledger,6797.33,18122.56,23067.6,29822.45,E393-BG737-8450442-A2366-F1-31-F2-25
Jul,2024,Q3,7,Jul,Manpower,2024-03-25,N,90704.2,99153.28,183326.16,17771.97,201098.13,134578.7,34337.16,32182.27,E451,Entity E451,DVC-Support Services,8450267,Cost Center 8450267,BG688,Budget Group BG688,A1490,Salary and Wages,ACT757,Activity ACT757,F1-96,Future 1 F1-96,F2-88,Future 2 F2-88,Expense,General Ledger,90704.2,99153.28,14152.2,16604.15,E451-BG688-8450267-A1490-F1-96-F2-88
Dec,2024,Q4,12,Dec,Manpower,2024-03-28,Y,82749.87,25454.05,289211.0,2165.76,291376.76,203771.27,58646.53000000003,28958.96,E344,Entity E344,DVC-Support Services,8450218,Cost Center 8450218,BG924,Budget Group BG924,A8966,Utilities,ACT632,Activity ACT632,F1-49,Future 1 F1-49,F2-54,Future 2 F2-54,Expense,General Ledger,82749.87,25454.05,3995.46,7839.99,E344-BG924-8450218-A8966-F1-49-F2-54
Dec,2023,Q4,12,Dec,Manpower,2024-01-28,Y,18275.12,31904.51,266205.63,45400.75,311606.38,75588.94,214466.97,21550.47,E174,Entity E174,DVC-Support Services,8450251,Cost Center 8450251,BG933,Budget Group BG933,A6622,Maintenance Costs,ACT984,Activity ACT984,F1-33,Future 1 F1-33,F2-28,Future 2 F2-28,Revenue,Project Ledger,18275.12,31904.51,16515.95,12220.97,E174-BG933-8450251-A6622-F1-33-F2-28
Mar,2024,Q1,3,Mar,Capital,2024-01-01,N,27553.66,49452.11,148678.12,29404.68,178082.8,56288.0,45433.29999999999,76361.5,E822,Entity E822,VC Office,8450134,Cost Center 8450134,BG627,Budget Group BG627,A8349,Utilities,ACT598,Activity ACT598,F1-82,Future 1 F1-82,F2-10,Future 2 F2-10,Revenue,General Ledger,27553.66,49452.11,4938.62,5435.16,E822-BG627-8450134-A8349-F1-82-F2-10
Feb,2024,Q1,2,Feb,Operational,2024-12-10,Y,59404.95,58965.35,126950.75,41577.04,168527.79,29884.45,38394.270000000004,100249.07,E109,Entity E109,VC Office,8450139,Cost Center 8450139,BG855,Budget Group BG855,A9465,Capital Expenditure,ACT699,Activity ACT699,F1-82,Future 1 F1-82,F2-24,Future 2 F2-24,Revenue,General Ledger,59404.95,58965.35,25904.4,9264.07,E109-BG855-8450139-A9465-F1-82-F2-24
Apr,2023,Q2,4,Apr,Manpower,2024-09-28,Y,15378.37,88617.13,283407.42,28229.53,311636.94999999995,206623.78,33702.22999999998,71310.94,E624,Entity E624,DVC-Academic,8450369,Cost Center 8450369,BG720,Budget Group BG720,A6214,Maintenance Costs,ACT716,Activity ACT716,F1-17,Future 1 F1-17,F2-76,Future 2 F2-76,Revenue,General Ledger,15378.37,88617.13,6932.43,26921.57,E624-BG720-8450369-A6214-F1-17-F2-76
Nov,2025,Q4,11,Nov,Capital,2024-10-24,Y,20945.58,41626.28,242628.53,45586.29,288214.82,11611.87,134922.85,141680.1,E857,Entity E857,DVC-CEC,8450421,Cost Center 8450421,BG671,Budget Group BG671,A1790,Salary and Wages,ACT714,Activity ACT714,F1-49,Future 1 F1-49,F2-73,Future 2 F2-73,Expense,General Ledger,20945.58,41626.28,28036.32,9101.57,E857-BG671-8450421-A1790-F1-49-F2-73
May,2025,Q2,5,May,Operational,2024-08-10,Y,15188.62,32855.81,121786.42,9122.9,130909.31999999999,126354.94,2604.2699999999895,1950.11,E831,Entity E831,DVC-Support Services,8450215,Cost Center 8450215,BG474,Budget Group BG474,A2605,Office Supplies,ACT806,Activity ACT806,F1-67,Future 1 F1-67,F2-91,Future 2 F2-91,Expense,Project Ledger,15188.62,32855.81,9397.99,19082.05,E831-BG474-8450215-A2605-F1-67-F2-91
Nov,2025,Q4,11,Nov,Operational,2024-11-13,N,81207.76,82521.14,418023.21,16186.54,434209.75,332254.62,87359.09999999998,14596.03,E566,Entity E566,DVC-CEC,8450467,Cost Center 8450467,BG711,Budget Group BG711,A8686,Utilities,ACT641,Activity ACT641,F1-92,Future 1 F1-92,F2-58,Future 2 F2-58,Expense,Project Ledger,81207.76,82521.14,14585.21,3270.41,E566-BG711-8450467-A8686-F1-92-F2-58
Dec,2025,Q4,12,Dec,Operational,2024-02-11,Y,30246.63,85869.81,442892.37,38232.55,481124.92,70578.67,127136.78999999998,283409.46,E314,Entity E314,DVC-Support Services,8450243,Cost Center 8450243,BG384,Budget Group BG384,A4197,Travel Expenses,ACT538,Activity ACT538,F1-90,Future 1 F1-90,F2-55,Future 2 F2-55,Revenue,General Ledger,30246.63,85869.81,15317.11,3598.59,E314-BG384-8450243-A4197-F1-90-F2-55
Dec,2025,Q4,12,Dec,Operational,2024-03-15,N,513.96,44540.95,133702.15,34132.63,167834.78,39545.71,7238.820000000007,121050.25,E278,Entity E278,DVC-Academic,8450385,Cost Center 8450385,BG211,Budget Group BG211,A4797,Travel Expenses,ACT158,Activity ACT158,F1-80,Future 1 F1-80,F2-18,Future 2 F2-18,Expense,General Ledger,513.96,44540.95,17935.2,2458.97,E278-BG211-8450385-A4797-F1-80-F2-18
Apr,2025,Q2,4,Apr,Capital,2024-09-02,Y,5363.48,71746.5,290190.29,42454.9,332645.19,127535.21,170594.36,34515.62,E942,Entity E942,,8450407,Cost Center 8450407,BG984,Budget Group BG984,A9881,Capital Expenditure,ACT674,Activity ACT674,F1-46,Future 1 F1-46,F2-68,Future 2 F2-68,Expense,General Ledger,5363.48,71746.5,13826.95,24861.27,E942-BG984-8450407-A9881-F1-46-F2-68
Apr,2025,Q2,4,Apr,Capital,2024-04-08,N,46878.99,70563.54,468876.77,7099.71,475976.48000000004,144811.97,285050.9,46113.61,E949,Entity E949,VC Office,8450159,Cost Center 8450159,BG601,Budget Group BG601,A5813,Consultancy Services,ACT597,Activity ACT597,F1-88,Future 1 F1-88,F2-88,Future 2 F2-88,Revenue,General Ledger,46878.99,70563.54,20374.88,18941.28,E949-BG601-8450159-A5813-F1-88-F2-88
Mar,2024,Q1,3,Mar,Manpower,2024-02-16,Y,29827.25,77550.53,257248.72,6962.7,264211.42,2831.1,119122.15999999997,142258.16,E100,Entity E100,VC Office,8450143,Cost Center 8450143,BG545,Budget Group BG545,A5174,Consultancy Services,ACT335,Activity ACT335,F1-87,Future 1 F1-87,F2-91,Future 2 F2-91,Revenue,General Ledger,29827.25,77550.53,26397.44,15165.62,E100-BG545-8450143-A5174-F1-87-F2-91
Sep,2024,Q3,9,Sep,Capital,2024-01-14,N,39675.51,47400.63,280506.65,43458.74,323965.39,171721.89,80996.52000000002,71246.98,E544,Entity E544,DVC-Academic,8450354,Cost Center 8450354,BG121,Budget Group BG121,A8951,Utilities,ACT405,Activity ACT405,F1-52,Future 1 F1-52,F2-26,Future 2 F2-26,Revenue,Project Ledger,39675.51,47400.63,1381.89,27924.72,E544-BG121-8450354-A8951-F1-52-F2-26
Feb,2024,Q1,2,Feb,Capital,2024-03-21,Y,84565.35,25960.33,100657.5,18820.75,119478.25,68193.58,26734.449999999997,24550.22,E525,Entity E525,DVC-Support Services,8450294,Cost Center 8450294,BG933,Budget Group BG933,A9456,Capital Expenditure,ACT974,Activity ACT974,F1-95,Future 1 F1-95,F2-73,Future 2 F2-73,Revenue,Project Ledger,84565.35,25960.33,24666.84,22585.46,E525-BG933-8450294-A9456-F1-95-F2-73
Jan,2024,Q1,1,Jan,Manpower,2024-11-22,Y,23184.13,70556.27,223081.13,12108.73,235189.86000000002,17169.7,55806.92999999999,162213.23,E260,Entity E260,DVC-Academic,8450393,Cost Center 8450393,BG205,Budget Group BG205,A2128,Office Supplies,ACT538,Activity ACT538,F1-69,Future 1 F1-69,F2-79,Future 2 F2-79,Revenue,Project Ledger,23184.13,70556.27,6979.1,22507.82,E260-BG205-8450393-A2128-F1-69-F2-79
Aug,2024,Q3,8,Aug,Manpower,2024-06-30,Y,73909.14,68651.39,426028.84,43872.61,469901.45,363320.05,35002.640000000014,71578.76,E897,Entity E897,DVC-Academic,8450359,Cost Center 8450359,BG965,Budget Group BG965,A4779,Travel Expenses,ACT934,Activity ACT934,F1-80,Future 1 F1-80,F2-27,Future 2 F2-27,Revenue,General Ledger,73909.14,68651.39,22637.08,7458.15,E897-BG965-8450359-A4779-F1-80-F2-27
Apr,2024,Q2,4,Apr,Capital,2024-10-31,N,86292.24,26707.5,313864.37,42938.07,356802.44,116275.26,11054.080000000016,229473.1,E795,Entity E795,DVC-Support Services,8450288,Cost Center 8450288,BG297,Budget Group BG297,A4199,Travel Expenses,ACT631,Activity ACT631,F1-97,Future 1 F1-97,F2-36,Future 2 F2-36,Revenue,Project Ledger,86292.24,26707.5,9234.57,7234.96,E795-BG297-8450288-A4199-F1-97-F2-36
Jul,2025,Q3,7,Jul,Manpower,2024-11-14,Y,29136.11,41739.48,250746.75,43795.25,294542.0,266648.58,14143.159999999974,13750.26,E524,Entity E524,VC Office,8450151,Cost Center 8450151,BG709,Budget Group BG709,A7080,Training and Development,ACT642,Activity ACT642,F1-39,Future 1 F1-39,F2-27,Future 2 F2-27,Expense,Project Ledger,29136.11,41739.48,8941.99,9612.04,E524-BG709-8450151-A7080-F1-39-F2-27
Aug,2024,Q3,8,Aug,Manpower,2024-02-25,Y,12384.6,7053.56,463771.8,9506.44,473278.24,388679.83,38523.5,46074.91,E420,Entity E420,DVC-Support Services,8450288,Cost Center 8450288,BG996,Budget Group BG996,A7362,Training and Development,ACT888,Activity ACT888,F1-62,Future 1 F1-62,F2-25,Future 2 F2-25,Revenue,General Ledger,12384.6,7053.56,25618.29,396.86,E420-BG996-8450288-A7362-F1-62-F2-25
Apr,2024,Q2,4,Apr,Operational,2024-07-10,Y,1438.12,80298.13,492317.52,30296.31,522613.83,263244.97,31535.140000000072,227833.72,E551,Entity E551,DVC-Academic,8450315,Cost Center 8450315,BG689,Budget Group BG689,A9518,Capital Expenditure,ACT707,Activity ACT707,F1-28,Future 1 F1-28,F2-11,Future 2 F2-11,Revenue,Project Ledger,1438.12,80298.13,9309.25,15100.35,E551-BG689-8450315-A9518-F1-28-F2-11
Jun,2023,Q2,6,Jun,Manpower,2024-12-05,Y,15577.33,54704.53,134978.6,18868.16,153846.76,63618.18,86636.45000000001,3592.13,E509,Entity E509,DVC-CEC,8450444,Cost Center 8450444,BG143,Budget Group BG143,A1026,Salary and Wages,ACT893,Activity ACT893,F1-88,Future 1 F1-88,F2-45,Future 2 F2-45,Expense,General Ledger,15577.33,54704.53,11766.53,28433.39,E509-BG143-8450444-A1026-F1-88-F2-45
Feb,2025,Q1,2,Feb,Manpower,2024-04-06,N,98125.76,38161.65,410093.82,17129.55,427223.37,268154.81,128524.83999999997,30543.72,E645,Entity E645,,8450206,Cost Center 8450206,BG268,Budget Group BG268,A3728,IT Equipment,ACT762,Activity ACT762,F1-80,Future 1 F1-80,F2-12,Future 2 F2-12,Revenue,Project Ledger,98125.76,38161.65,20896.84,27722.19,E645-BG268-8450206-A3728-F1-80-F2-12
Jan,2023,Q1,1,Jan,Operational,2024-09-26,N,63564.53,35595.78,159402.71,29823.35,189226.06,154102.66,21701.919999999984,13421.48,E308,Entity E308,,8450206,Cost Center 8450206,BG173,Budget Group BG173,A5078,Consultancy Services,ACT781,Activity ACT781,F1-60,Future 1 F1-60,F2-73,Future 2 F2-73,Revenue,Project Ledger,63564.53,35595.78,17595.35,15782.48,E308-BG173-8450206-A5078-F1-60-F2-73
Nov,2023,Q4,11,Nov,Manpower,2024-11-15,N,47130.83,47251.54,251289.81,25864.67,277154.48,114494.57,130234.38999999998,32425.52,E543,Entity E543,DVC-Academic,8450387,Cost Center 8450387,BG611,Budget Group BG611,A1992,Salary and Wages,ACT814,Activity ACT814,F1-83,Future 1 F1-83,F2-34,Future 2 F2-34,Expense,Project Ledger,47130.83,47251.54,7224.11,11604.22,E543-BG611-8450387-A1992-F1-83-F2-34
Aug,2024,Q3,8,Aug,Operational,2024-04-29,Y,8975.95,91082.63,102418.82,24193.01,126611.83,15604.59,76852.63,34154.61,E436,Entity E436,DVC-Academic,8450382,Cost Center 8450382,BG216,Budget Group BG216,A7961,Training and Development,ACT467,Activity ACT467,F1-49,Future 1 F1-49,F2-67,Future 2 F2-67,Expense,General Ledger,8975.95,91082.63,16400.32,26534.36,E436-BG216-8450382-A7961-F1-49-F2-67
Jan,2024,Q1,1,Jan,Capital,2024-02-11,N,30146.31,59937.3,180505.52,44511.83,225017.34999999998,25855.92,198397.21999999997,764.21,E503,Entity E503,DVC-CEC,8450485,Cost Center 8450485,BG987,Budget Group BG987,A5654,Consultancy Services,ACT206,Activity ACT206,F1-18,Future 1 F1-18,F2-86,Future 2 F2-86,Expense,General Ledger,30146.31,59937.3,13951.09,6809.36,E503-BG987-8450485-A5654-F1-18-F2-86
Oct,2024,Q4,10,Oct,Manpower,2024-08-04,N,34213.26,96155.07,277940.97,24452.42,302393.38999999996,106336.6,17733.639999999956,178323.15,E372,Entity E372,VC Office,8450185,Cost Center 8450185,BG276,Budget Group BG276,A4767,Travel Expenses,ACT930,Activity ACT930,F1-12,Future 1 F1-12,F2-58,Future 2 F2-58,Expense,Project Ledger,34213.26,96155.07,10897.66,23818.05,E372-BG276-8450185-A4767-F1-12-F2-58
Jun,2025,Q2,6,Jun,Operational,2024-02-15,N,54459.54,4106.82,397930.03,22297.78,420227.81000000006,8414.32,386072.29000000004,25741.2,E243,Entity E243,,8450309,Cost Center 8450309,BG256,Budget Group BG256,A5582,Consultancy Services,ACT959,Activity ACT959,F1-15,Future 1 F1-15,F2-25,Future 2 F2-25,Revenue,Project Ledger,54459.54,4106.82,19851.12,6573.78,E243-BG256-8450309-A5582-F1-15-F2-25
Oct,2024,Q4,10,Oct,Operational,2024-07-17,Y,74860.87,48260.12,186412.58,48363.56,234776.13999999998,167894.29,2866.899999999994,64014.95,E497,Entity E497,DVC-Support Services,8450217,Cost Center 8450217,BG385,Budget Group BG385,A6680,Maintenance Costs,ACT239,Activity ACT239,F1-53,Future 1 F1-53,F2-42,Future 2 F2-42,Expense,Project Ledger,74860.87,48260.12,7565.19,13401.79,E497-BG385-8450217-A6680-F1-53-F2-42
May,2024,Q2,5,May,Manpower,2024-08-21,Y,35796.12,33366.09,255078.06,6918.41,261996.47,193397.48,9812.100000000006,58786.89,E657,Entity E657,DVC-CEC,8450496,Cost Center 8450496,BG282,Budget Group BG282,A8489,Utilities,ACT611,Activity ACT611,F1-87,Future 1 F1-87,F2-25,Future 2 F2-25,Expense,Project Ledger,35796.12,33366.09,28101.74,15470.3,E657-BG282-8450496-A8489-F1-87-F2-25
Apr,2024,Q2,4,Apr,Manpower,2024-01-18,N,84210.69,61413.32,230329.83,9586.81,239916.63999999998,133273.04,44372.33999999997,62271.26,E183,Entity E183,DVC-Support Services,8450264,Cost Center 8450264,BG664,Budget Group BG664,A7500,Training and Development,ACT915,Activity ACT915,F1-16,Future 1 F1-16,F2-68,Future 2 F2-68,Expense,General Ledger,84210.69,61413.32,8223.61,24830.26,E183-BG664-8450264-A7500-F1-16-F2-68
Jul,2023,Q3,7,Jul,Operational,2024-10-19,Y,63532.33,19648.7,184698.34,2074.87,186773.21,60153.59,55744.95999999999,70874.66,E939,Entity E939,DVC-Support Services,8450215,Cost Center 8450215,BG571,Budget Group BG571,A3940,IT Equipment,ACT646,Activity ACT646,F1-23,Future 1 F1-23,F2-23,Future 2 F2-23,Revenue,Project Ledger,63532.33,19648.7,5786.12,2781.44,E939-BG571-8450215-A3940-F1-23-F2-23
Sep,2024,Q3,9,Sep,Operational,2024-05-01,Y,12130.3,30277.51,312988.36,28220.83,341209.19,204924.51,113626.63,22658.05,E205,Entity E205,VC Office,8450194,Cost Center 8450194,BG313,Budget Group BG313,A8288,Utilities,ACT231,Activity ACT231,F1-91,Future 1 F1-91,F2-78,Future 2 F2-78,Expense,Project Ledger,12130.3,30277.51,3642.45,21633.97,E205-BG313-8450194-A8288-F1-91-F2-78
Aug,2023,Q3,8,Aug,Operational,2024-11-02,Y,62337.96,60246.92,295914.35,26432.83,322347.18,107806.61,103126.93,111413.64,E621,Entity E621,DVC-Academic,8450321,Cost Center 8450321,BG211,Budget Group BG211,A6127,Maintenance Costs,ACT903,Activity ACT903,F1-85,Future 1 F1-85,F2-23,Future 2 F2-23,Revenue,Project Ledger,62337.96,60246.92,22498.61,24153.51,E621-BG211-8450321-A6127-F1-85-F2-23
Jul,2025,Q3,7,Jul,Manpower,2024-05-14,Y,32788.4,73713.24,114685.18,23738.45,138423.63,46555.11,7300.25,84568.27,E477,Entity E477,DVC-CEC,8450499,Cost Center 8450499,BG756,Budget Group BG756,A9433,Capital Expenditure,ACT393,Activity ACT393,F1-33,Future 1 F1-33,F2-60,Future 2 F2-60,Revenue,Project Ledger,32788.4,73713.24,29173.84,15540.31,E477-BG756-8450499-A9433-F1-33-F2-60
Sep,2024,Q3,9,Sep,Capital,2024-02-08,N,47538.59,78300.02,400061.29,22840.89,422902.18,357634.57,57811.619999999995,7455.99,E685,Entity E685,DVC-Support Services,8450219,Cost Center 8450219,BG279,Budget Group BG279,A9216,Capital Expenditure,ACT942,Activity ACT942,F1-32,Future 1 F1-32,F2-66,Future 2 F2-66,Revenue,Project Ledger,47538.59,78300.02,25024.92,3539.17,E685-BG279-8450219-A9216-F1-32-F2-66
Aug,2023,Q3,8,Aug,Operational,2024-07-31,N,26240.84,42171.26,115969.01,22453.93,138422.94,79954.9,25088.22,33379.82,E721,Entity E721,DVC-Academic,8450363,Cost Center 8450363,BG187,Budget Group BG187,A7727,Training and Development,ACT992,Activity ACT992,F1-39,Future 1 F1-39,F2-53,Future 2 F2-53,Expense,Project Ledger,26240.84,42171.26,12127.25,29797.96,E721-BG187-8450363-A7727-F1-39-F2-53
Oct,2024,Q4,10,Oct,Manpower,2024-06-12,Y,60079.21,70086.57,214082.32,31538.52,245620.84,111917.03,69256.25999999998,64447.55,E378,Entity E378,DVC-Academic,8450360,Cost Center 8450360,BG409,Budget Group BG409,A6839,Maintenance Costs,ACT932,Activity ACT932,F1-21,Future 1 F1-21,F2-33,Future 2 F2-33,Revenue,General Ledger,60079.21,70086.57,3398.99,5157.38,E378-BG409-8450360-A6839-F1-21-F2-33
Oct,2024,Q4,10,Oct,Capital,2024-06-30,Y,31738.89,22031.91,306122.08,5118.35,311240.43,233981.46,7244.299999999988,70014.67,E207,Entity E207,DVC-Support Services,8450265,Cost Center 8450265,BG693,Budget Group BG693,A6092,Maintenance Costs,ACT381,Activity ACT381,F1-97,Future 1 F1-97,F2-85,Future 2 F2-85,Revenue,General Ledger,31738.89,22031.91,17451.65,22990.42,E207-BG693-8450265-A6092-F1-97-F2-85
May,2023,Q2,5,May,Manpower,2024-01-05,Y,89924.89,62350.53,152515.19,15484.59,167999.78,33901.51,12226.209999999992,121872.06,E139,Entity E139,DVC-CEC,8450464,Cost Center 8450464,BG354,Budget Group BG354,A6262,Maintenance Costs,ACT851,Activity ACT851,F1-94,Future 1 F1-94,F2-79,Future 2 F2-79,Expense,Project Ledger,89924.89,62350.53,6773.69,18498.66,E139-BG354-8450464-A6262-F1-94-F2-79
Jul,2023,Q3,7,Jul,Manpower,2024-12-06,N,25253.04,44282.94,438907.76,10300.28,449208.04000000004,427689.02,14162.400000000023,7356.62,E354,Entity E354,VC Office,8450177,Cost Center 8450177,BG715,Budget Group BG715,A7479,Training and Development,ACT770,Activity ACT770,F1-62,Future 1 F1-62,F2-34,Future 2 F2-34,Revenue,Project Ledger,25253.04,44282.94,11463.99,9054.28,E354-BG715-8450177-A7479-F1-62-F2-34
