PO Number,Unique ID,Department,Account No.,Activity Detailed Description,Purchase Type,Supplier,Item Category,Total Approved,Actual Spent,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24
PO-000215,ECAE-PP-2025-1215,Finance,414223,IT Manpower Service,Regular,NextGen Solutions,8011.1600 - Outsourcing Services,109796.78,109796.78,12112.0,1949.14,9012.11,294.74,7155.54,997.03,16414.27,12311.97,14490.91,8558.28,15589.27,15976.17
PO-000216,ECAE-PP-2025-1216,Academic Services,415158,Training Service,Framework,GlobalTech,8012.1100 - Training Services,246337.28,246337.28,5892.77,23109.4,27569.05,23384.09,26953.84,4742.98,19543.5,14657.83,39962.83,2037.37,12246.83,38669.3
PO-000217,ECAE-PP-2025-1217,HR,418908,Utilities,Framework,GlobalTech,8015.4400 - Utilities,220048.79,220048.79,25838.13,16147.32,32214.69,5049.61,9547.87,17953.77,2249.58,3509.26,14576.16,34616.84,33315.89,17089.53
PO-000218,ECAE-PP-2025-1218,Academic Services,418094,Consulting Service,Framework,NextGen Solutions,8014.3300 - Consulting,162115.67,162115.67,2608.24,24816.38,18066.72,6675.13,16494.04,10943.39,17166.69,12803.65,13117.11,19883.0,16582.43,2160.26
PO-000219,ECAE-PP-2025-1219,Finance,416588,IT Manpower Service,Urgent,GlobalTech,8011.1600 - Outsourcing Services,52889.21000000001,52889.21000000001,5736.77,8474.93,1699.72,8015.38,5342.23,5209.1,457.69,6596.17,4215.91,6357.06,7132.82,4617.2
PO-000220,ECAE-PP-2025-1220,Information Technology,417228,Training Service,Regular,GWA,8012.1100 - Training Services,142933.64,142933.64,10968.36,23641.22,8640.62,15563.81,15148.45,18735.79,16959.52,280.62,7366.25,20730.94,12853.31,2482.85
PO-000221,ECAE-PP-2025-1221,Facilities,414351,Utilities,Regular,GWA,8015.4400 - Utilities,214643.36,214643.36,3729.88,9381.47,26545.89,2612.15,16034.79,29552.35,9584.71,10799.22,31631.54,23253.16,28537.27,10345.96
PO-000222,ECAE-PP-2025-1222,Academic Services,419706,IT Manpower Service,Urgent,ABC Corp,8011.1600 - Outsourcing Services,163541.47999999998,163541.47999999998,6212.52,23244.8,20433.47,14099.3,13944.3,15513.9,22576.26,20231.7,23338.6,13826.96,17026.01,23292.99
PO-000223,ECAE-PP-2025-1223,Information Technology,412658,Maintenance Contract,Regular,Emirates Services,8013.2200 - Maintenance Services,234789.25,234789.25,33799.98,24732.93,8568.33,14152.57,30912.54,28915.52,22562.56,5664.98,31433.95,12034.61,30193.82,25340.27
PO-000224,ECAE-PP-2025-1224,HR,418248,Utilities,Framework,ABC Corp,8015.4400 - Utilities,211869.66,211869.66,28771.35,32259.02,8134.93,20755.26,2766.18,4242.42,23105.77,17181.94,26777.93,15031.36,4505.71,30793.62
PO-000225,ECAE-PP-2025-1225,Academic Services,411244,Maintenance Contract,Framework,GWA,8013.2200 - Maintenance Services,59092.16,59092.16,4211.64,8021.06,5094.18,8136.3,9771.74,6369.41,5208.12,3596.33,1917.51,6467.22,616.89,9418.18
PO-000226,ECAE-PP-2025-1226,Facilities,418252,Maintenance Contract,Urgent,GWA,8013.2200 - Maintenance Services,161649.16,161649.16,22503.06,13713.42,15006.94,23802.62,426.5,1803.01,4353.18,809.26,17731.73,17077.68,5679.33,4025.24
PO-000227,ECAE-PP-2025-1227,HR,419448,Consulting Service,Regular,ABC Corp,8014.3300 - Consulting,113158.23,113158.23,11720.42,11085.12,9511.22,4855.01,4269.66,10364.02,1323.97,1404.5,10576.78,17347.38,17242.9,204.22
PO-000228,ECAE-PP-2025-1228,Information Technology,416237,Consulting Service,Regular,Emirates Services,8014.3300 - Consulting,77058.33,77058.33,5059.75,2702.6,5183.78,8139.05,330.48,12704.67,3800.83,8009.51,3641.63,5054.2,7053.89,7858.06
PO-000229,ECAE-PP-2025-1229,Finance,417067,Utilities,Framework,ABC Corp,8015.4400 - Utilities,83280.58,83280.58,3693.55,10948.22,5186.72,10173.54,225.4,205.59,406.87,3044.72,5190.99,8436.96,13684.58,4919.24
PO-000230,ECAE-PP-2025-1230,Information Technology,417630,Consulting Service,Regular,ABC Corp,8014.3300 - Consulting,79592.58,79592.58,1563.05,10269.32,5097.51,10752.73,9952.88,8399.92,12459.19,1312.26,10593.5,8898.26,4174.91,7242.56
PO-000231,ECAE-PP-2025-1231,Finance,418305,Maintenance Contract,Urgent,NextGen Solutions,8013.2200 - Maintenance Services,81547.46,81547.46,6829.6,12536.3,5980.67,11381.55,6739.13,1451.7,2009.53,634.38,2654.57,12145.33,8837.0,10041.98
PO-000232,ECAE-PP-2025-1232,HR,416063,IT Manpower Service,Urgent,ABC Corp,8011.1600 - Outsourcing Services,133868.51,133868.51,701.87,7195.0,10410.52,12843.27,19812.64,17218.98,6692.91,16588.19,12257.69,17384.64,9171.1,2050.27
PO-000233,ECAE-PP-2025-1233,Finance,411887,IT Manpower Service,Framework,ABC Corp,8011.1600 - Outsourcing Services,180708.06,180708.06,11914.38,14642.54,28311.73,19799.25,8743.54,5207.67,12650.96,13602.53,18109.79,8011.47,23115.85,2965.43
PO-000234,ECAE-PP-2025-1234,Information Technology,417296,Consulting Service,Regular,ABC Corp,8014.3300 - Consulting,93945.43,93945.43,2589.15,15543.0,6368.98,14071.26,2670.7,6660.12,15039.39,1426.91,9300.35,14392.0,14869.74,13246.42
PO-000235,ECAE-PP-2025-1235,Information Technology,411907,Utilities,Framework,GWA,8015.4400 - Utilities,101963.41,101963.41,11420.03,9293.25,12322.35,8274.89,7983.11,15000.63,14806.05,13384.33,11978.91,11528.09,954.75,12737.54
PO-000236,ECAE-PP-2025-1236,HR,416457,Consulting Service,Regular,GlobalTech,8014.3300 - Consulting,196670.48,196670.48,32515.09,21369.42,32244.26,16907.51,5016.85,5755.75,23973.3,29.79,21695.64,4958.45,32266.04,5347.06
PO-000237,ECAE-PP-2025-1237,Finance,411129,Utilities,Urgent,GlobalTech,8015.4400 - Utilities,181748.94,181748.94,19361.49,6388.38,2348.6,30198.16,8167.48,4272.71,21188.61,24889.98,1941.0,3192.52,2731.5,1422.47
PO-000238,ECAE-PP-2025-1238,HR,417681,Utilities,Regular,ABC Corp,8015.4400 - Utilities,150110.50999999998,150110.50999999998,21240.44,2693.48,14133.35,18171.79,18774.34,14798.23,11209.86,6524.36,22752.41,9251.51,19989.52,792.22
PO-000239,ECAE-PP-2025-1239,Finance,411766,Training Service,Regular,GWA,8012.1100 - Training Services,209808.29,209808.29,33800.34,15620.29,32438.39,10457.65,14009.12,13857.26,19095.31,20429.99,8676.45,27750.09,17362.54,246.3
PO-000240,ECAE-PP-2025-1240,Information Technology,416790,IT Manpower Service,Framework,GlobalTech,8011.1600 - Outsourcing Services,191558.43,191558.43,31343.69,6697.13,13744.73,31182.63,13002.61,11147.78,3508.12,24049.67,14271.28,20390.21,16277.89,5572.34
PO-000241,ECAE-PP-2025-1241,Facilities,418874,Utilities,Framework,GWA,8015.4400 - Utilities,203372.67,203372.67,1385.17,22199.09,10637.62,18963.72,22232.61,14941.83,5029.22,17593.03,31622.96,18163.9,4167.1,27935.37
PO-000242,ECAE-PP-2025-1242,Finance,412508,Utilities,Framework,Emirates Services,8015.4400 - Utilities,103095.52,103095.52,4675.87,1734.19,15923.02,14993.94,5300.69,4243.89,15557.07,30.45,10319.48,15739.31,8738.33,50.98
PO-000243,ECAE-PP-2025-1243,Academic Services,412104,Utilities,Framework,GlobalTech,8015.4400 - Utilities,217170.36,217170.36,29231.12,5583.66,199.85,12189.6,17770.83,25520.43,28272.51,24016.12,22676.53,24096.81,9827.92,13839.59
PO-000244,ECAE-PP-2025-1244,Finance,411013,Training Service,Framework,GlobalTech,8012.1100 - Training Services,193094.91,193094.91,103.32,9991.95,27888.47,10735.32,8148.17,17492.37,2533.73,17108.37,9772.72,12329.2,25468.09,21303.65
PO-000245,ECAE-PP-2025-1245,Facilities,418150,Utilities,Urgent,GWA,8015.4400 - Utilities,107148.58,107148.58,10057.67,4460.35,11690.48,2414.1,5961.15,7159.55,13878.19,5514.3,875.67,3227.68,10859.39,272.34
PO-000246,ECAE-PP-2025-1246,Finance,414634,Maintenance Contract,Regular,GlobalTech,8013.2200 - Maintenance Services,181784.07,181784.07,27862.22,29279.75,5009.91,4439.33,12960.03,20884.31,13321.56,27035.97,21735.21,19207.63,2152.26,5312.2
PO-000247,ECAE-PP-2025-1247,HR,414820,IT Manpower Service,Regular,NextGen Solutions,8011.1600 - Outsourcing Services,168815.81,168815.81,4873.51,10741.91,867.51,23257.94,9586.45,6982.59,16315.86,19835.63,22871.62,9785.27,22854.87,13079.88
PO-000248,ECAE-PP-2025-1248,Information Technology,413525,Maintenance Contract,Urgent,ABC Corp,8013.2200 - Maintenance Services,219818.19,219818.19,29725.25,11773.99,6801.73,14502.18,4544.87,17227.04,24749.85,13513.27,6360.49,16603.51,27934.83,2806.13
PO-000249,ECAE-PP-2025-1249,HR,415826,Maintenance Contract,Regular,GWA,8013.2200 - Maintenance Services,70203.31,70203.31,967.93,10707.58,3026.34,8442.32,709.75,8899.26,1486.27,8138.74,6228.71,11179.74,431.96,3417.13
PO-000250,ECAE-PP-2025-1250,Information Technology,411118,Consulting Service,Urgent,NextGen Solutions,8014.3300 - Consulting,195666.19,195666.19,26343.0,3370.87,20400.41,15557.01,32563.46,12650.5,31218.11,13167.7,22230.96,20990.46,2819.29,24241.93
PO-000251,ECAE-PP-2025-1251,HR,418594,Training Service,Framework,ABC Corp,8012.1100 - Training Services,153975.37,153975.37,9675.79,21875.99,12091.57,6873.91,6678.91,14567.81,2027.61,23867.62,6966.45,8612.99,5987.12,77.19
PO-000252,ECAE-PP-2025-1252,Information Technology,415941,Utilities,Regular,NextGen Solutions,8015.4400 - Utilities,124438.79,124438.79,10804.3,2089.76,11834.26,8094.31,721.05,9010.36,5830.79,1389.1,6084.43,6099.47,7364.16,7600.62
PO-000253,ECAE-PP-2025-1253,Academic Services,415444,Utilities,Framework,GWA,8015.4400 - Utilities,121090.71,121090.71,4328.67,15716.59,12748.77,4527.91,14973.3,2852.14,16586.23,16027.59,19628.32,3032.91,18297.07,6884.06
PO-000254,ECAE-PP-2025-1254,Facilities,415077,IT Manpower Service,Regular,GWA,8011.1600 - Outsourcing Services,147357.95,147357.95,18451.79,11480.23,423.05,13340.64,15354.34,24098.12,1001.86,12576.93,2410.65,3659.29,14992.77,5687.22
PO-000255,ECAE-PP-2025-1255,HR,411328,Training Service,Framework,ABC Corp,8012.1100 - Training Services,212801.58,212801.58,20894.09,30529.47,20047.59,12688.22,13205.83,20055.19,28708.34,4740.25,1392.62,28003.58,22968.1,29129.36
PO-000256,ECAE-PP-2025-1256,Information Technology,418079,Training Service,Framework,Emirates Services,8012.1100 - Training Services,46442.17999999999,46442.17999999999,5338.7,6485.14,2970.44,4611.79,3989.81,3674.56,2230.02,5489.63,4056.18,608.41,4.04,157.28
PO-000257,ECAE-PP-2025-1257,Academic Services,417800,Training Service,Regular,ABC Corp,8012.1100 - Training Services,63168.97,63168.97,5487.27,7762.08,8906.25,10517.29,4900.97,10475.06,7690.82,6920.6,6734.69,9588.46,9980.01,1879.21
PO-000258,ECAE-PP-2025-1258,Information Technology,412635,IT Manpower Service,Regular,Emirates Services,8011.1600 - Outsourcing Services,217592.4,217592.4,29396.97,19214.35,19055.95,27153.89,12390.76,27629.49,17589.02,23134.33,34989.93,17092.45,15173.61,32847.36
PO-000259,ECAE-PP-2025-1259,Information Technology,418053,IT Manpower Service,Framework,Emirates Services,8011.1600 - Outsourcing Services,98828.05,98828.05,5222.65,13792.74,8835.97,13300.75,14055.38,7290.65,5912.93,7501.6,10752.41,6047.6,12765.1,14889.97
PO-000260,ECAE-PP-2025-1260,Finance,415014,IT Manpower Service,Urgent,Emirates Services,8011.1600 - Outsourcing Services,203651.68,203651.68,14208.51,32690.51,19804.19,4697.38,18529.07,33722.86,19183.03,63.45,31670.55,7972.77,23370.02,17482.82
PO-000261,ECAE-PP-2025-1261,Facilities,417925,Utilities,Urgent,GlobalTech,8015.4400 - Utilities,54721.78,54721.78,4151.26,6805.47,8132.52,5337.96,6596.64,3320.43,4525.84,6654.41,6636.46,3871.81,4958.41,8425.83
PO-000262,ECAE-PP-2025-1262,Facilities,419217,Consulting Service,Urgent,NextGen Solutions,8014.3300 - Consulting,205586.58,205586.58,19049.14,5333.33,19866.29,20640.18,14336.25,13114.59,8410.49,11338.86,17075.54,8485.89,26823.38,24294.69
PO-000263,ECAE-PP-2025-1263,HR,414207,Maintenance Contract,Regular,GWA,8013.2200 - Maintenance Services,94460.09,94460.09,9482.75,10432.37,4749.65,1236.46,5758.3,6331.3,4254.99,3392.46,5596.9,10066.56,14940.98,11079.87
PO-000264,ECAE-PP-2025-1264,Academic Services,417814,Training Service,Framework,ABC Corp,8012.1100 - Training Services,244057.56,244057.56,7136.2,18762.07,22909.71,31052.46,14232.48,5970.43,3837.95,4573.88,38643.4,38713.68,39405.39,12304.12
PO-000265,ECAE-PP-2025-1265,HR,419208,Consulting Service,Regular,GlobalTech,8014.3300 - Consulting,75616.55,75616.55,5385.58,5466.88,8237.2,291.09,8713.09,279.76,2334.96,7646.62,1089.35,12488.12,9885.4,8893.34
PO-000266,ECAE-PP-2025-1266,Facilities,419627,Consulting Service,Urgent,ABC Corp,8014.3300 - Consulting,101507.73,101507.73,12941.66,2933.47,1885.59,781.35,8501.1,12988.48,16270.58,4525.32,2053.37,6810.38,937.94,5605.93
PO-000267,ECAE-PP-2025-1267,Academic Services,412890,Consulting Service,Framework,GlobalTech,8014.3300 - Consulting,216341.5,216341.5,15578.29,20352.79,16672.22,30556.72,976.01,7542.22,31791.62,2130.97,8184.5,12665.0,27069.39,20198.39
PO-000268,ECAE-PP-2025-1268,Academic Services,416165,Consulting Service,Urgent,GlobalTech,8014.3300 - Consulting,61927.04,61927.04,4199.79,2450.28,5900.39,8085.5,5019.87,3443.38,1574.56,276.92,6996.55,315.27,9504.13,6133.15
PO-000269,ECAE-PP-2025-1269,HR,417468,Utilities,Urgent,NextGen Solutions,8015.4400 - Utilities,200594.77,200594.77,12776.99,4559.59,17069.15,11285.67,11760.6,21563.45,29608.06,18675.1,22988.24,22063.65,18426.17,10389.41
PO-000270,ECAE-PP-2025-1270,Information Technology,418289,IT Manpower Service,Regular,NextGen Solutions,8011.1600 - Outsourcing Services,235835.63,235835.63,10352.37,27310.12,16108.69,32784.76,31262.6,8307.61,7226.6,28211.12,21636.93,21901.5,29578.32,33605.43
PO-000271,ECAE-PP-2025-1271,HR,416053,Utilities,Framework,GWA,8015.4400 - Utilities,84944.81,84944.81,8830.85,10850.71,4191.81,9777.0,1073.0,5116.91,6712.5,11070.63,4787.23,6423.24,8895.9,8835.39
PO-000272,ECAE-PP-2025-1272,Information Technology,418600,IT Manpower Service,Regular,Emirates Services,8011.1600 - Outsourcing Services,188865.19,188865.19,20446.27,23493.05,21303.8,29105.9,4585.61,10067.94,10846.3,7305.37,4476.26,15320.22,26266.1,30046.55
PO-000273,ECAE-PP-2025-1273,HR,413743,IT Manpower Service,Regular,NextGen Solutions,8011.1600 - Outsourcing Services,176969.62,176969.62,7469.81,700.88,15115.22,11121.08,7709.46,18717.73,10744.08,11864.36,679.73,17374.61,3600.48,6306.16
PO-000274,ECAE-PP-2025-1274,HR,415518,Utilities,Regular,GWA,8015.4400 - Utilities,202765.55,202765.55,3300.37,7762.76,23767.81,19441.53,11286.3,8827.98,33710.71,25949.52,27780.37,890.97,2013.69,24082.28
PO-000275,ECAE-PP-2025-1275,Information Technology,411313,Utilities,Framework,Emirates Services,8015.4400 - Utilities,173638.05,173638.05,20392.8,21971.82,934.58,11021.96,21101.04,10951.24,168.81,9732.5,25254.29,27548.8,16221.17,8865.96
PO-000276,ECAE-PP-2025-1276,HR,413305,Training Service,Regular,ABC Corp,8012.1100 - Training Services,225272.01,225272.01,11130.11,1932.99,35440.86,18283.53,2414.4,31167.39,21376.22,2075.68,16929.06,16309.81,5484.69,15783.04
PO-000277,ECAE-PP-2025-1277,Finance,419475,IT Manpower Service,Regular,GWA,8011.1600 - Outsourcing Services,91100.92,91100.92,10345.84,13363.56,382.02,11010.68,15165.84,9712.0,6296.27,13276.45,8414.37,11379.13,8924.53,581.39
PO-000278,ECAE-PP-2025-1278,HR,417523,Consulting Service,Framework,GlobalTech,8014.3300 - Consulting,211709.71,211709.71,18828.28,13800.08,12410.0,31462.0,20346.0,29049.88,18138.97,10833.36,3237.73,11421.63,31054.9,25121.52
PO-000279,ECAE-PP-2025-1279,Academic Services,416649,Consulting Service,Framework,NextGen Solutions,8014.3300 - Consulting,111524.42,111524.42,4857.14,10852.11,1387.19,16777.93,4469.28,15224.49,12267.67,9721.34,17282.5,2914.75,2217.06,5982.54
PO-000280,ECAE-PP-2025-1280,Facilities,413153,IT Manpower Service,Regular,GlobalTech,8011.1600 - Outsourcing Services,156650.11000000002,156650.11000000002,18137.29,1509.46,13056.16,25869.61,8037.99,12870.32,17023.49,5280.82,18341.31,17225.68,9789.6,7426.24
PO-000281,ECAE-PP-2025-1281,Finance,418667,IT Manpower Service,Regular,ABC Corp,8011.1600 - Outsourcing Services,237110.56,237110.56,1268.45,38111.36,16526.26,9775.85,24400.5,5252.51,2851.08,32712.7,16782.32,20480.62,6982.75,2427.39
PO-000282,ECAE-PP-2025-1282,Facilities,411759,IT Manpower Service,Framework,NextGen Solutions,8011.1600 - Outsourcing Services,55969.77,55969.77,289.07,6392.51,7978.32,7034.54,1891.77,5445.56,7064.93,2386.45,4922.74,2933.38,2104.23,9044.62
PO-000283,ECAE-PP-2025-1283,Facilities,413014,IT Manpower Service,Framework,NextGen Solutions,8011.1600 - Outsourcing Services,81334.14,81334.14,208.06,12089.9,12481.29,9937.28,6324.4,3455.29,10086.95,12631.15,2149.03,6314.54,4273.59,4835.88
PO-000284,ECAE-PP-2025-1284,Finance,415103,Maintenance Contract,Urgent,GlobalTech,8013.2200 - Maintenance Services,95453.27,95453.27,15101.25,15023.78,14534.48,14107.07,597.98,6373.02,14236.49,12013.22,7264.95,12301.59,3312.0,9542.13
PO-000285,ECAE-PP-2025-1285,HR,418991,Training Service,Urgent,NextGen Solutions,8012.1100 - Training Services,197138.89,197138.89,15759.82,3995.08,22365.18,4234.19,10601.97,7491.46,17707.49,11417.75,5252.21,25983.38,15392.99,14931.6
PO-000286,ECAE-PP-2025-1286,HR,411060,Maintenance Contract,Framework,ABC Corp,8013.2200 - Maintenance Services,189082.09,189082.09,16107.02,9827.96,27955.68,13324.14,26956.6,24675.21,25722.32,31192.16,23596.14,1072.76,6473.98,1109.13
PO-000287,ECAE-PP-2025-1287,Facilities,412488,Consulting Service,Urgent,ABC Corp,8014.3300 - Consulting,130283.22,130283.22,6917.59,10722.74,12096.27,785.74,5064.89,15303.34,16783.26,12364.99,5880.75,8795.94,2085.33,20697.22
PO-000288,ECAE-PP-2025-1288,HR,415270,Maintenance Contract,Urgent,Emirates Services,8013.2200 - Maintenance Services,187068.4,187068.4,20028.1,8947.32,4454.51,21054.91,14040.25,7332.14,4290.97,18098.23,22621.24,8851.05,22920.32,5709.4
PO-000289,ECAE-PP-2025-1289,HR,417941,Utilities,Framework,GWA,8015.4400 - Utilities,135317.12000000002,135317.12000000002,10051.12,17811.95,5581.39,12257.66,2038.16,10476.05,4006.27,4762.97,8273.03,17170.56,16779.02,9358.82
PO-000290,ECAE-PP-2025-1290,Academic Services,411271,Training Service,Urgent,GWA,8012.1100 - Training Services,64021.990000000005,64021.990000000005,802.68,4483.05,6596.13,8416.7,8646.69,10589.71,936.38,5261.93,5563.24,8584.64,2842.13,740.23
PO-000291,ECAE-PP-2025-1291,Information Technology,411687,Utilities,Regular,GlobalTech,8015.4400 - Utilities,208728.79,208728.79,24180.94,23889.35,9955.94,30838.96,1546.0,9552.49,6266.78,24737.7,24885.69,18602.31,182.97,30396.32
PO-000292,ECAE-PP-2025-1292,Academic Services,415210,IT Manpower Service,Framework,Emirates Services,8011.1600 - Outsourcing Services,96562.17,96562.17,4729.85,10901.51,11307.99,12552.71,13366.89,4319.47,11055.75,2171.13,8219.55,9863.62,2602.86,1231.27
PO-000293,ECAE-PP-2025-1293,Information Technology,414016,Consulting Service,Urgent,Emirates Services,8014.3300 - Consulting,238716.53,238716.53,16952.56,20640.95,183.55,1325.36,3332.85,27810.24,19343.65,7677.17,23577.21,21667.99,3532.98,25479.52
PO-000294,ECAE-PP-2025-1294,HR,412321,Consulting Service,Framework,Emirates Services,8014.3300 - Consulting,96907.95,96907.95,9674.17,4258.06,2328.94,296.43,13575.91,15691.79,11358.61,6665.85,1970.64,7673.57,7386.35,6781.56
PO-000295,ECAE-PP-2025-1295,Academic Services,417591,IT Manpower Service,Regular,GWA,8011.1600 - Outsourcing Services,94100.09,94100.09,14986.22,14412.45,7464.24,7235.44,1971.36,15240.14,11920.88,13292.71,3672.47,6290.37,1609.82,14755.1
PO-000296,ECAE-PP-2025-1296,Academic Services,417282,Maintenance Contract,Urgent,GlobalTech,8013.2200 - Maintenance Services,213947.6,213947.6,11151.55,4033.11,18951.88,32672.54,32400.4,8902.04,25661.58,1079.87,4701.56,17810.15,8156.98,28464.37
PO-000297,ECAE-PP-2025-1297,Information Technology,418997,Maintenance Contract,Regular,GlobalTech,8013.2200 - Maintenance Services,231120.1,231120.1,12224.25,18056.43,8533.29,19873.77,24779.0,33701.1,8145.47,11962.97,15631.44,8649.55,12790.19,34026.68
PO-000298,ECAE-PP-2025-1298,Finance,413074,Consulting Service,Regular,GWA,8014.3300 - Consulting,214022.64,214022.64,33155.34,22041.07,7632.82,25864.99,10732.46,9716.31,13974.84,427.93,34569.67,18988.48,27590.87,9197.7
PO-000299,ECAE-PP-2025-1299,Information Technology,416642,IT Manpower Service,Regular,GlobalTech,8011.1600 - Outsourcing Services,151917.91,151917.91,20964.8,5831.76,18379.3,14931.31,1297.21,22777.2,25268.56,17944.58,5861.7,14037.46,2769.48,7564.99
PO-000300,ECAE-PP-2025-1300,Information Technology,417658,Consulting Service,Framework,NextGen Solutions,8014.3300 - Consulting,243416.76,243416.76,3591.38,31544.66,26383.7,6568.78,10278.68,30436.85,22968.63,23733.14,8519.94,25520.54,31263.99,35914.2
PO-000301,ECAE-PP-2025-1301,Facilities,417877,Training Service,Framework,ABC Corp,8012.1100 - Training Services,103023.79,103023.79,15050.06,6561.46,5290.85,9565.5,8742.81,8896.07,13670.06,10106.58,15200.57,10630.29,372.62,14945.21
PO-000302,ECAE-PP-2025-1302,Finance,417392,IT Manpower Service,Framework,NextGen Solutions,8011.1600 - Outsourcing Services,78677.15,78677.15,2609.87,6970.19,3262.0,8639.83,7700.08,12410.53,5843.1,11472.16,7550.67,11991.22,3826.62,7208.94
PO-000303,ECAE-PP-2025-1303,Academic Services,416509,Training Service,Urgent,ABC Corp,8012.1100 - Training Services,94962.9,94962.9,6318.51,5015.15,6623.16,1832.75,3102.43,8054.47,12643.47,13871.34,13706.07,14952.71,1990.6,648.44
PO-000304,ECAE-PP-2025-1304,Information Technology,416535,Consulting Service,Framework,NextGen Solutions,8014.3300 - Consulting,129229.26,129229.26,20199.98,17092.46,18923.29,4373.94,6875.62,6789.3,2351.26,15713.83,2932.88,1130.95,16701.74,19484.83
PO-000305,ECAE-PP-2025-1305,HR,412974,Consulting Service,Framework,NextGen Solutions,8014.3300 - Consulting,239732.82,239732.82,1949.1,16407.86,4853.13,39105.75,15214.8,32995.67,7056.35,5546.41,25942.81,36331.91,4576.36,23543.92
PO-000306,ECAE-PP-2025-1306,Information Technology,418188,Training Service,Framework,ABC Corp,8012.1100 - Training Services,110109.25,110109.25,7990.8,1436.0,15647.35,18238.25,8350.43,9391.66,1440.77,7028.96,6823.18,17723.76,12119.94,14354.27
PO-000307,ECAE-PP-2025-1307,Facilities,417838,Training Service,Urgent,NextGen Solutions,8012.1100 - Training Services,238301.81,238301.81,11973.21,36324.43,8608.4,34202.45,2726.34,10351.71,38649.73,9182.43,5282.87,34039.61,4678.69,3870.66
PO-000308,ECAE-PP-2025-1308,HR,417258,Maintenance Contract,Regular,ABC Corp,8013.2200 - Maintenance Services,143631.62,143631.62,23077.66,7182.8,12679.66,15124.91,3922.31,1277.05,20773.06,12819.68,13663.54,13283.87,18072.7,3483.11
PO-000309,ECAE-PP-2025-1309,Academic Services,414875,Utilities,Framework,Emirates Services,8015.4400 - Utilities,250882.1,250882.1,32311.61,24278.34,16791.86,26595.8,30659.19,957.55,3757.49,3950.78,9698.01,17854.04,33603.56,14680.74
PO-000310,ECAE-PP-2025-1310,Finance,415737,Training Service,Urgent,Emirates Services,8012.1100 - Training Services,52846.0,52846.0,7649.87,4500.48,1854.73,3028.04,3173.99,3977.85,3703.96,5911.28,2993.83,5839.18,4815.8,427.25
PO-000311,ECAE-PP-2025-1311,Finance,418587,Maintenance Contract,Regular,GlobalTech,8013.2200 - Maintenance Services,118063.31,118063.31,16078.41,10059.39,12692.38,13108.03,16145.84,13536.49,19208.35,8976.97,988.94,7753.35,16526.46,2618.4
PO-000312,ECAE-PP-2025-1312,Information Technology,414505,Consulting Service,Regular,GWA,8014.3300 - Consulting,229342.32,229342.32,9311.07,17294.95,25532.27,33525.05,6317.96,34144.07,14908.69,32253.04,19591.49,32956.82,25335.6,19445.02
PO-000313,ECAE-PP-2025-1313,Finance,419447,Training Service,Urgent,GlobalTech,8012.1100 - Training Services,215705.97,215705.97,34232.76,26795.68,12460.48,10951.82,23132.14,21337.17,33036.69,27547.2,19426.65,33346.91,21309.26,30547.02
PO-000314,ECAE-PP-2025-1314,Facilities,418671,Training Service,Framework,GlobalTech,8012.1100 - Training Services,148731.44999999998,148731.44999999998,23733.73,7170.5,2775.96,23637.2,18357.2,22090.15,8945.61,11999.21,23059.32,11391.65,16660.28,17470.96
PO-000315,ECAE-PP-2025-1315,Finance,413408,Utilities,Urgent,NextGen Solutions,8015.4400 - Utilities,193605.13,193605.13,10123.28,4187.73,14106.12,856.67,19439.87,13799.68,4566.62,17109.35,25843.4,31454.39,17016.55,4180.29
PO-000316,ECAE-PP-2025-1316,Academic Services,411821,Consulting Service,Framework,ABC Corp,8014.3300 - Consulting,148007.03000000003,148007.03000000003,13960.64,2708.56,20055.23,13232.75,2813.62,3947.12,20279.52,8769.09,20254.67,1714.5,6015.48,18860.6
PO-000317,ECAE-PP-2025-1317,Finance,413998,Training Service,Urgent,GWA,8012.1100 - Training Services,153087.94,153087.94,6925.74,57.49,25438.56,5375.48,16721.88,23650.1,15301.46,20386.99,24911.79,21951.88,14234.73,9279.76
PO-000318,ECAE-PP-2025-1318,Facilities,415973,Utilities,Regular,Emirates Services,8015.4400 - Utilities,102334.83,102334.83,14386.25,891.19,15821.31,23.23,16018.29,7756.27,1741.78,11498.36,15279.55,7471.68,11791.67,16703.82
PO-000319,ECAE-PP-2025-1319,Finance,414987,Maintenance Contract,Regular,GWA,8013.2200 - Maintenance Services,47086.59,47086.59,4581.41,2299.64,7435.01,3076.09,1702.13,4351.69,5877.42,96.01,2168.68,6474.23,3978.98,3205.72
PO-000320,ECAE-PP-2025-1320,Facilities,411552,Consulting Service,Framework,Emirates Services,8014.3300 - Consulting,166152.18000000002,166152.18000000002,916.16,21921.69,7944.36,19201.82,21059.09,3243.19,8194.09,20033.52,6429.47,23487.66,8639.18,11141.34
PO-000321,ECAE-PP-2025-1321,Facilities,413396,IT Manpower Service,Framework,GlobalTech,8011.1600 - Outsourcing Services,86785.32,86785.32,4601.76,10780.86,7378.19,13694.78,2023.35,2998.69,4054.31,188.06,13645.26,6441.84,6966.68,2283.28
